iter	Passed	Remaining
0	5	1166
1	12	1202
2	17	1175
3	22	1103
4	27	1070
5	32	1041
6	37	1042
7	43	1033
8	48	1030
9	54	1026
10	58	1005
11	62	976
12	67	971
13	73	977
14	78	969
15	84	973
16	89	961
17	94	951
18	98	941
19	104	941
20	109	936
21	114	927
22	119	922
23	124	911
24	130	915
25	135	906
26	139	894
27	143	882
28	147	872
29	153	869
30	158	863
31	163	855
32	167	848
33	172	841
34	177	835
35	181	828
36	186	821
37	191	815
38	195	808
39	200	800
40	206	800
41	212	800
42	217	794
43	222	788
44	227	784
45	232	778
46	237	773
47	242	767
48	247	762
49	252	757
50	256	750
51	261	744
52	266	739
53	271	733
54	276	728
55	280	721
56	288	723
57	292	716
58	297	710
59	301	703
60	307	699
61	312	696
62	317	690
63	322	685
64	329	684
65	334	678
66	339	673
67	344	669
68	350	664
69	355	659
70	361	657
71	366	652
72	372	647
73	376	641
74	382	638
75	388	633
76	393	628
77	401	627
78	406	622
79	411	617
80	416	612
81	422	607
82	427	603
83	435	600
84	440	595
85	445	590
86	450	584
87	455	579
88	460	574
89	465	569
90	470	563
91	478	561
92	484	556
93	489	552
94	494	547
95	499	541
96	504	536
97	510	531
98	517	527
99	523	523
100	528	518
101	537	516
102	543	511
103	548	506
104	553	500
105	557	494
106	562	488
107	568	484
108	573	479
109	578	473
110	584	468
111	589	463
112	594	457
113	598	451
114	603	446
115	610	441
116	614	435
117	619	430
118	624	424
119	628	418
120	632	413
121	637	407
122	641	401
123	646	396
124	652	391
125	656	385
126	663	381
127	667	375
128	672	370
129	681	367
130	686	361
131	690	355
132	695	350
133	699	344
134	704	338
135	708	333
136	712	327
137	719	323
138	723	317
139	728	312
140	732	306
141	737	301
142	742	296
143	747	290
144	751	285
145	756	279
146	761	274
147	766	269
148	771	263
149	776	258
150	780	253
151	784	247
152	788	242
153	794	237
154	798	231
155	802	226
156	807	221
157	812	215
158	821	211
159	826	206
160	831	201
161	836	196
162	842	191
163	847	186
164	852	180
165	858	175
166	864	170
167	869	165
168	874	160
169	879	155
170	884	149
171	889	144
172	894	139
173	898	134
174	903	129
175	907	123
176	912	118
177	923	114
178	932	109
179	938	104
180	945	99
181	953	94
182	958	89
183	963	83
184	967	78
185	973	73
186	977	67
187	986	62
188	990	57
189	994	52
190	1000	47
191	1005	41
192	1010	36
193	1016	31
194	1021	26
195	1026	20
196	1033	15
197	1039	10
198	1051	5
199	1056	0
